customer_id,transaction_id,customer_name,customer_segment,product_name,quantity,unit_price,discount_percent,shipping_city,shipping_method,shipping_cost,payment_method,payment_status,Year,Month,Day,rating,returned,total_revenue
544,27014,Alok Yadav,Silver,Monitor,2,13834.28,0.24,Delhi,Express,96.2,Debit Card,Paid,2023,11,16,2.0,0,21124.305600000003
2713,17450,Priya Verma,Standard,Printer,2,12684.38,0.31,Hyderabad,Same Day,48.06,COD,Pending,2024,7,12,2.0,0,17552.504399999998
2105,71839,Alok Sharma,Standard,Desk Lamp,1,1557.14,0.39,Mumbai,Same Day,96.92,UPI,Paid,2024,6,25,5.0,0,1046.7754
2110,73153,Ritu Joshi,Standard,Smart Watch,1,8478.67,0.13,Pune,Standard,62.92,Debit Card,Paid,2024,6,26,5.0,1,7439.3629
2400,69826,Amit Verma,Standard,Gaming Chair,2,11976.96,0.19, Pune,Standard,97.56,UPI,Paid,2023,6,12,4.0,1,19500.235200000003
1273,23867,Kavita Verma,Silver,External HDD,2,5265.59,0.36,Kolkata,Standard,8.27,Credit Card,Paid,2023,9,14,1.0,0,6748.225200000001
2426,87683,Alok Verma,Standard,Laptop,9,48124.58,0.34,Hyderabad,Express,34.94,Debit Card,Paid,2024,1,13,5.0,0,285894.9452
2369,78830,Alok Verma,Gold,Printer,1,11186.49,0.07,Pune,Standard,50.32,Wallet,Paid,2023,3,25,3.0,0,10453.7557
1454,30562,Pooja Verma,Standard,Printer,1,12387.95,0.3,Mumbai,Express,40.65,COD,Paid,2024,1,13,5.0,1,8712.215
2584,33846,Raj Kumar,Standard,External HDD,3,5463.01,0.35,Kolkata,Standard,14.61,Credit Card,Paid,2024,2,17,5.0,1,10667.4795
2274,94569,Sunil Sharma,Silver,Monitor,3,16279.81,0.34,Ahmedabad,Standard,37.94,Credit Card,Pending,2023,9,14,5.0,1,32271.963799999994
2133,21961,Rahul Singh,Gold,Smart Watch,8,7731.97,0.03,Chennai,Express,35.45,Credit Card,Paid,2024,2,21,4.0,0,60035.5372
670,48523,Suresh Sharma,Gold,Smart Watch,1,9093.81,0.01,Jaipur,Express,40.23,UPI,Paid,2023,11,22,4.0,0,9043.1019
2412,35467,Rahul Joshi,Premium,Phone Stand,6,749.32,0.1,Hyderabad,Pickup,84.9,UPI,Refunded,2024,11,18,2.0,0,4131.228
