order_id,order_date,customer_id,customer_name,customer_email,customer_segment,product_name,quantity,unit_price,discount_percent,shipping_region,shipping_city,shipping_cost,shipping_method,payment_method,payment_status,transaction_id,rating,review_text,return_flag,return_reason
ORD0009460,2023-11-16,CUST00544,Alok Yadav,alok.yadav@hotmail.com,Silver,Monitor,2,13834.28,0.24,East,Delhi,96.2,Express,Debit Card,Paid,TXN27014,2,NA,False,
ORD0005459,2023-06-24,CUST01462,Amit Gupta,amit.gupta@yahoo.com,Premium,Gaming Chair,1,60000,2.5,South,Chennai,59.46,Express,Debit Card,Pending,TXN93469,,Late delivery,False,
ORD0000813,2024-12-07,CUST02713,Priya Verma,priya.verma@yahoo.com,Standard,Printer,2,12684.38,0.31,North,Hyderabad,48.06,Same Day,COD,Pending,TXN17450,2,Average,False,
ORD0018416,2024-06-25,CUST02105,Alok Sharma,alok.sharma@hotmail.com,Standard,Desk Lamp,1,1557.14,0.39,East,Mumbai,96.92,Same Day,UPI,Paid,TXN71839,5,,False,
ORD0002141,2024-06-26,CUST02110,Ritu Joshi,ritu.joshi@rediffmail.com,Standard,Smart Watch,1,8478.67,0.13,South,Pune,62.92,Standard,Debit Card,Paid,TXN73153,5,Damaged,True,Better price
ORD0018330,2023-12-06,CUST02400,,@.com,Standard,Gaming Chair,2,11976.96,0.19,West, Pune,97.56,Standard,UPI,Paid,TXN69826,4,Poor quality,Yes,Damaged
ORD0017735,2023-09-14,CUST01273,Kavita Verma,kavita.verma@hotmail.com,Silver,External HDD,2,5265.59,0.36,East,Kolkata,8.27,Standard,Credit Card,Paid,TXN23867,1,Excellent!,False,
ORD0016031,2024-02-30,CUST02426,Alok Verma,alok.verma@rediffmail.com,Standard,Laptop,9,48124.58,0.34,West,Hyderabad,34.94,Express,Debit Card,Paid,TXN87683,5,,False,
ORD0014198,2023-03-25,CUST02369,Alok Verma,alok.verma@yahoo.com,Gold,Printer,,11186.49,0.07,South,Pune,50.32,Standard,Wallet,Paid,TXN78830,3,Great product!,N,
ORD0017976,2024-02-30,CUST01454,Pooja Verma,pooja.verma@rediffmail.com,Standard,Printer,1,12387.95,0.3,East,Mumbai,40.65,Express,COD,Paid,TXN30562,5,NA,True,Defective
ORD0004707,2024-02-17,CUST02584,Raj Kumar,raj.kumar@yahoo.com,Standard,External HDD,3,5463.01,0.35,South,Kolkata,14.61,Standard,Credit Card,Paid,TXN33846,5,Will buy again,True,
ORD0002688,2023-09-14,CUST02274,Sunil Sharma,sunil.sharma@hotmail.com,Silver,Monitor,3,16279.81,0.34,West,Ahmedabad,37.94,Standard,Credit Card,Pending,TXN94569,5,,Yes,Better price
ORD0007160,2024-02-21,CUST02133,Rahul Singh,rahul.singh@gmail.com,Gold,Smart Watch,8,7731.97,0.03,South,Chennai,35.45,Express,Credit Card,Paid,TXN21961,4,Average,False,
ORD0000409,2023-11-22,CUST00670,Suresh Sharma,suresh.sharma@yahoo.com,Gold,Smart Watch,1,9093.81,0.01,South,Jaipur,40.23,Express,UPI,Paid,TXN48523,4,Excellent!,False,
ORD0018668,2024-11-18,CUST02412,Rahul Joshi,rahul.joshi@gmail.com,Premium,Phone Stand,6,749.32,0.1,South,Hyderabad,84.9,Pickup,UPI,Refunded,TXN35467,2,NA,False,
ORD0004116,2023-01-12,CUST02614,Pooja Reddy,pooja.reddy@gmail.com,Standard,Printer,1,11772.72,0.14,North,Pune,55.84,Standard,UPI,Paid,TXN92689,4,Excellent!,False,
ORD0006742,2024-12-17,CUST02495,Neha Reddy,neha.reddy@rediffmail.com,Premium,Power Bank,-5,1723.88,0.14,West,Pune,73.31,Express,Wallet,Pending,TXN89150,4,Good value,,
ORD0010302,2024-10-28,CUST01179,Rahul Yadav,,Silver,External HDD,3,6570.95,0.34,East,Bangalore,75.98,Standard,NetBanking,Paid,TXN33208,4,Excellent!,False,
ORD0018639,2023-06-11,CUST02352,Pooja Patel,pooja.patel@hotmail.com,Standard,Webcam,8,3062.85,0.1,East,Hyderabad,73.53,Express,NetBanking,Paid,TXN84276,4,Great product!,False,
ORD0006144,2023-02-05,CUST02842,Priya Malhotra,priya.malhotra@rediffmail.com,Standard,Phone Stand,5,803.36,,West,Kolkata,17.46,Standard,Credit Card,Failed,TXN12964,4,Damaged,False,
ORD0017286,2023-04-14,CUST02867,Suresh Sharma,suresh.sharma@gmail.com,,Printer,5,10482.46,0.2,North,Bangalore,11.36,Standard,UPI,Chargeback,TXN31023,,Good value,False,
ORD0003275,2023-12-06,CUST01195,Suresh Verma,suresh.verma@hotmail.com,Gold,Printer,1,11932.32,0.29,East,Jaipur,7.37,Express,Credit Card,,TXN34322,3,Good value,False,
ORD0013377,2024-08-22,CUST00616,Neha Singh,,Premium,Webcam,4,free,0.34,South,Ahmedabad,6.93,Standard,UPI,Pending,TXN22791,4,Great product!,,
ORD0005338,2024-11-01,CUST00168,Kavita Reddy,kavita.reddy@yahoo.com,Gold,Phone Stand,6,872.87,0.35,West,Hyderabad,34.81,Standard,Credit Card,Paid,TXN99691,5,???,False,
ORD0003589,2023-06-26,CUST01784,Manish Reddy,manish.reddy@yahoo.com,Silver,Webcam,3,2621.41,1.5,North,Jaipur,97.24,Standard,UPI,Paid,TXN82284,4,,False,
ORD0014979,2024-08-17,CUST01698,Ritu Joshi,ritu.joshi@yahoo.com,Silver,Monitor,3,13632.96,0.11,North,Hyderabad,57.3,Express,Wallet,Pending,TXN98890,2,Not satisfied,False,
ORD0008434,2024-02-12,CUST01171,Ritu Joshi,ritu.joshi@hotmail.com,Standard,Headphones,5,3708.66,0.03,,Hyderabad,20.39,Standard,NetBanking,Paid,TXN59532,5,NA,Y,
ORD0004450,2023-08-25,CUST01556,Priya Malhotra,priya.malhotra@gmail.com,Silver,Speakers,1,3457.62,0.25,East,Delhi,4.12,Pickup,COD,Paid,TXN67471,4,Late delivery,False,
ORD0019235,2024-01-27,CUST02486,Vikas Sharma,vikas.sharma@rediffmail.com,Gold,Router,2,3186.2,0.01,South,Jaipur,67.23,Pickup,UPI,Paid,TXN42050,4,???,False,
ORD0003296,2023-12-01,CUST02513,Raj Verma,raj.verma@yahoo.com,Premium,Phone Stand,2,820.27,,West,Kolkata,60.98,,Debit Card,Paid,TXN79130,,Poor quality,False,
ORD0003848,2023-09-05,CUST02528,Raj Gupta,raj.gupta@hotmail.com,Silver,Smart Watch,7,6852.33,0.19,West,Kolkata,64.39,Express,Credit Card,Paid,TXN10350,5,Average,False,
ORD0002481,2023-02-13,CUST00999,Shweta Yadav,shweta.yadav@gmail.com,New,Printer,10,10342.77,0.21,South,Bangalore,71.65,Standard,UPI,Paid,TXN85182,2,Excellent!,False,
ORD0016232,2024-05-28,CUST01544,Suresh Reddy,suresh.reddy@rediffmail.com,Silver,Mouse,8,825.39,0.04,North,Lucknow,38.95,Standard,Debit Card,,TXN56008,0,Not satisfied,False,
ORD0004956,2023-02-04,CUST02774,Raj Verma,raj.verma@yahoo.com,Gold,Laptop,6,52610.38,0.31,North,Lucknow,7.52,Same Day,Credit Card,Paid,TXN88352,4,Excellent!,False,
ORD0007970,2024-09-19,CUST00562,,no-email,Standard,Webcam,6,2800.91,0.09,North,Chennai,63.47,Express,UPI,Paid,TXN78594,5,Excellent!,False,
ORD0004231,2024-07-25,CUST02675,Meera Verma,meera.verma@gmail.com,Standard,Router,5,2556.27,0.17,West,Hyderabad,29.39,Standard,Debit Card,Paid,TXN63256,4,Damaged,False,
ORD0015293,2023-01-06,CUST02519,Anjali Gupta,anjali.gupta@rediffmail.com,Silver,Keyboard,1,2343.32,0.22,South,Bangalore,6.32,Standard,Credit Card,Paid,TXN60869,5,Great product!,False,
ORD0009661,2024-10-15,CUST00287,Priya Joshi,priya.joshi@rediffmail.com,Premium,External HDD,8,5906.21,0.3,North,Mumbai,12.49,,Debit Card,Paid,TXN57053,3,Good value,False,
